cluster_id,railway,section,line,chainage_start_m,chainage_end_m,span_m,n_defects,max_amp
0,Central Railway,Londa-Miraj,DN,660006.01,660009.43,3.4200000000419095,2,32.0
1,Central Railway,Londa-Miraj,DN,674423.0,674425.0,2.0,2,33.0
2,Central Railway,Londa-Miraj,UP,648098.0,648099.0,1.0,2,71.0
3,Central Railway,Londa-Miraj,UP,652726.0,652728.0,2.0,2,81.0
4,Central Railway,Londa-Miraj,UP,721386.0,721388.0,2.0,2,87.0
5,Central Railway,Londa-Miraj,UP,726150.0,726154.0,4.0,2,93.0
6,East Central Railway,Bachhwara-Samastipur,DN,12234.0,12235.2,1.2000000000007276,2,26.0
7,East Central Railway,Bachhwara-Samastipur,DN,26182.0,26182.0,0.0,2,28.0
8,East Central Railway,Bachhwara-Samastipur,UP,17454.65,17458.2,3.5499999999992724,2,33.0
9,East Central Railway,Bachhwara-Samastipur,UP,24954.5,24954.5,0.0,2,25.0
10,East Central Railway,Barauni-Hajipur,DN,183767.32,183769.85,2.529999999998836,2,37.0
11,East Central Railway,Barauni-Hajipur,DN,183869.1,183871.2,2.1000000000058208,2,26.0
12,East Central Railway,Barauni-Hajipur,DN,184128.13,184130.95,2.820000000006985,2,37.0
13,East Central Railway,Barauni-Hajipur,DN,186632.5,186632.6,0.10000000000582077,2,28.0
14,East Central Railway,Barauni-Hajipur,DN,186732.7,186734.5,1.7999999999883585,2,35.0
15,East Central Railway,Barauni-Hajipur,DN,186755.0,186758.0,3.0,2,29.0
16,East Central Railway,Barauni-Hajipur,DN,187016.15,187016.25,0.10000000000582077,2,35.0
17,East Central Railway,Barauni-Hajipur,DN,187425.0,187430.2,5.2000000000116415,3,25.0
18,East Central Railway,Barauni-Hajipur,DN,187868.9,187868.92,0.02000000001862645,2,30.0
19,East Central Railway,Barauni-Hajipur,DN,188110.0,188110.0,0.0,2,27.0
20,East Central Railway,Barauni-Hajipur,DN,188157.75,188157.75,0.0,2,28.0
21,East Central Railway,Barauni-Hajipur,DN,189005.5,189007.3,1.7999999999883585,2,26.0
