triage_rank,triage_level,railway,section,line,km,meter,chainage_m,rail,asset_type,latest_amp,severity_band,yrs_to_80,para632_escalate,cluster_id,is_imr_level,sla_breach,days_since_insp,in_track,gmt_carried,n_readings,reasons,defect_key
1,IMMEDIATE,North Western Railway,Jaipur-Phulera,DN,242,786.0,242786.0,RR,rail,100.0,>=80 (IMR-level),0.0,False,-1,True,True,72,True,565.0,1,amp>=80%FSH (IMR-level); SLA breach (72d); ~0.0y to IMR,Data run on run/NWR/Jaiput Phulera DN OBS.xls#8
2,IMMEDIATE,North Western Railway,Jaipur-Phulera,DN,249,109.0,249109.0,LR,rail,100.0,>=80 (IMR-level),0.0,False,-1,True,True,68,True,565.0,3,amp>=80%FSH (IMR-level); SLA breach (68d); ~0.0y to IMR,Data run on run/NWR/Jaiput Phulera DN OBS.xls#40
3,IMMEDIATE,North Western Railway,Jaipur-Phulera,DN,255,346.0,255346.0,RR,rail,100.0,>=80 (IMR-level),0.0,True,77,True,True,61,True,566.0,3,amp>=80%FSH (IMR-level); Para 6.3.2 cluster; SLA breach (61d); ~0.0y to IMR,Data run on run/NWR/Jaiput Phulera DN OBS.xls#83
4,IMMEDIATE,North Western Railway,Jaipur-Phulera,DN,259,285.0,259285.0,LR,rail,100.0,>=80 (IMR-level),0.0,False,-1,True,True,57,True,566.0,3,amp>=80%FSH (IMR-level); SLA breach (57d); ~0.0y to IMR,Data run on run/NWR/Jaiput Phulera DN OBS.xls#98
5,IMMEDIATE,North Western Railway,Jaipur-Phulera,DN,260,351.0,260351.0,RR,rail,100.0,>=80 (IMR-level),0.0,False,-1,True,True,57,True,566.0,3,amp>=80%FSH (IMR-level); SLA breach (57d); ~0.0y to IMR,Data run on run/NWR/Jaiput Phulera DN OBS.xls#104
6,IMMEDIATE,North Western Railway,Jaipur-Phulera,DN,267,597.9,267597.9,LR,weld,100.0,>=80 (IMR-level),0.0,False,-1,True,True,130,True,440.213,3,amp>=80%FSH (IMR-level); SLA breach (130d); ~0.0y to IMR,Data run on run/NWR/Jaiput Phulera DN OBSW.xls#15
7,IMMEDIATE,North Western Railway,Jaipur-Phulera,DN,269,888.0,269888.0,RR,rail,100.0,>=80 (IMR-level),0.0,False,-1,True,True,129,True,566.0,3,amp>=80%FSH (IMR-level); SLA breach (129d); ~0.0y to IMR,Data run on run/NWR/Jaiput Phulera DN OBS.xls#131
8,IMMEDIATE,North Western Railway,Jaipur-Phulera,DN,270,33.0,270033.0,RR,rail,100.0,>=80 (IMR-level),0.0,True,82,True,True,129,True,566.0,3,amp>=80%FSH (IMR-level); Para 6.3.2 cluster; SLA breach (129d); ~0.0y to IMR,Data run on run/NWR/Jaiput Phulera DN OBS.xls#133
9,IMMEDIATE,North Western Railway,Jaipur-Phulera,DN,271,493.0,271493.0,RR,rail,100.0,>=80 (IMR-level),0.0,False,-1,True,True,128,True,566.0,3,amp>=80%FSH (IMR-level); SLA breach (128d); ~0.0y to IMR,Data run on run/NWR/Jaiput Phulera DN OBS.xls#154
10,IMMEDIATE,North Western Railway,Jaipur-Phulera,DN,287,203.0,287203.0,LR,rail,100.0,>=80 (IMR-level),0.0,False,-1,True,True,83,True,569.0,3,amp>=80%FSH (IMR-level); SLA breach (83d); ~0.0y to IMR,Data run on run/NWR/Jaiput Phulera DN OBS.xls#185
11,IMMEDIATE,North Western Railway,Jaipur-Phulera,UP,242,746.0,242746.0,RR,weld,100.0,>=80 (IMR-level),0.0,False,-1,True,True,107,True,321.777,3,amp>=80%FSH (IMR-level); SLA breach (107d); ~0.0y to IMR,Data run on run/NWR/Jaipur Phulera UP OBSW.xls#1
12,IMMEDIATE,North Western Railway,Jaipur-Phulera,UP,242,966.06,242966.06,RR,weld,100.0,>=80 (IMR-level),0.0,False,-1,True,True,107,True,321.777,3,amp>=80%FSH (IMR-level); SLA breach (107d); ~0.0y to IMR,Data run on run/NWR/Jaipur Phulera UP OBSW.xls#7
13,IMMEDIATE,North Western Railway,Jaipur-Phulera,UP,243,238.6,243238.6,RR,weld,100.0,>=80 (IMR-level),0.0,False,-1,True,True,107,True,321.725,3,amp>=80%FSH (IMR-level); SLA breach (107d); ~0.0y to IMR,Data run on run/NWR/Jaipur Phulera UP OBSW.xls#15
14,IMMEDIATE,North Western Railway,Jaipur-Phulera,UP,243,276.0,243276.0,RR,rail,100.0,>=80 (IMR-level),0.0,False,-1,True,True,107,True,343.0,3,amp>=80%FSH (IMR-level); SLA breach (107d); ~0.0y to IMR,Data run on run/NWR/Jaipur phulera UP OBS.xls#10
15,IMMEDIATE,North Western Railway,Jaipur-Phulera,UP,276,744.0,276744.0,LR,rail,100.0,>=80 (IMR-level),0.0,False,-1,True,True,135,True,206.0,3,amp>=80%FSH (IMR-level); SLA breach (135d); ~0.0y to IMR,Data run on run/NWR/Jaipur phulera UP OBS.xls#80
16,IMMEDIATE,North Western Railway,Jodhpur-Jaisalmer,SL,62,725.39,62725.39,LR,rail,100.0,>=80 (IMR-level),0.0,False,-1,True,True,82,True,207.0,2,amp>=80%FSH (IMR-level); SLA breach (82d); ~0.0y to IMR,Data run on run/NWR/Jodhpur Jaisalmer SL OBS.xls#177
17,IMMEDIATE,South Western Railway,Bangalore City-Mysore,DN,0,512.0,512.0,RR,rail,100.0,>=80 (IMR-level),0.0,False,-1,True,True,68,True,36.0,1,amp>=80%FSH (IMR-level); SLA breach (68d); ~0.0y to IMR,Data run on run/bANGALORE MYSORE/Bangalore-mysore dn OBS.xls#4
18,IMMEDIATE,South Western Railway,Bangalore City-Mysore,UP,0,60.4,60.4,LR,weld,100.0,>=80 (IMR-level),0.0,False,-1,True,True,68,True,140.551,3,amp>=80%FSH (IMR-level); SLA breach (68d); ~0.0y to IMR,Data run on run/bANGALORE MYSORE/Bangalore-mysore UP OBSW.xls#1
19,IMMEDIATE,South Western Railway,Bangalore City-Mysore,UP,0,92.0,92.0,RR,rail,100.0,>=80 (IMR-level),0.0,True,145,True,True,68,True,46.0,3,amp>=80%FSH (IMR-level); Para 6.3.2 cluster; SLA breach (68d); ~0.0y to IMR,Data run on run/bANGALORE MYSORE/Bangalore-mysore up OBS.xls#4
20,IMMEDIATE,South Western Railway,Bangalore City-Mysore,UP,0,92.0,92.0,LR,rail,100.0,>=80 (IMR-level),0.0,True,145,True,True,68,True,46.0,3,amp>=80%FSH (IMR-level); Para 6.3.2 cluster; SLA breach (68d); ~0.0y to IMR,Data run on run/bANGALORE MYSORE/Bangalore-mysore up OBS.xls#3
21,IMMEDIATE,South Western Railway,Bangalore City-Mysore,UP,0,99.5,99.5,RR,rail,100.0,>=80 (IMR-level),0.0,False,-1,True,True,68,True,46.0,3,amp>=80%FSH (IMR-level); SLA breach (68d); ~0.0y to IMR,Data run on run/bANGALORE MYSORE/Bangalore-mysore up OBS.xls#5
